Costo Total,Proveedor,Modelo,Nivel Servicio,z,Nivel Servicio Num,Costo Total Num
1803424,0,0,"0,978","1,64",0.978,1803424
"1763114,8",0,0,"0,976","1,64",0.976,1763114.8
1568278,1,0,"0,974","1,64",0.974,1568278
"2931184,5",2,0,"0,998","1,64",0.998,2931184.5
1664688,1,0,"0,977","1,64",0.977,1664688
"3250214,5",2,0,"0,999","1,64",0.999,3250214.5
1752026,1,0,"0,987","1,64",0.987,1752026
"2965933,5",2,0,"1,000","1,64",1.000,2965933.5
"1872826,6",0,0,"0,979","1,64",0.979,1872826.6
"1833072,8",0,0,"0,981","1,64",0.981,1833072.8
1788902,1,0,"0,982","1,64",0.982,1788902
1912068,0,0,"0,974","1,64",0.974,1912068
3137800,2,0,"0,993","1,64",0.993,3137800
3277204,2,0,"0,996","1,64",0.996,3277204
"2010731,8",0,0,"0,980","1,64",0.980,2010731.8
1805340,1,0,"0,973","1,64",0.973,1805340
"3321219,5",2,0,"0,997","1,64",0.997,3321219.5
"1970286,8",0,0,"0,969","1,64",0.969,1970286.8
1888905,1,0,"0,978","1,64",0.978,1888905
1902823,1,0,"0,982","1,64",0.982,1902823
1876921,1,0,"0,977","1,64",0.977,1876921
3379257,2,0,"0,999","1,64",0.999,3379257
3838267,2,0,"0,997","1,64",0.997,3838267
1919793,1,0,"0,967","1,64",0.967,1919793
"2002189,4",0,0,"0,973","1,64",0.973,2002189.4
2093320,0,0,"0,980","1,64",0.980,2093320
3464370,2,0,"0,999","1,64",0.999,3464370
"3416211,5",2,0,"0,997","1,64",0.997,3416211.5
2114670,1,0,"0,987","1,64",0.987,2114670
"3470268,5",2,0,"0,995","1,64",0.995,3470268.5
2168828,0,0,"0,975","1,64",0.975,2168828
2055988,1,0,"0,979","1,64",0.979,2055988
"2106986,4",0,0,"0,975","1,64",0.975,2106986.4
2059372,1,0,"0,977","1,64",0.977,2059372
"2073498,6",0,0,"0,974","1,64",0.974,2073498.6
"3657030,5",2,0,"0,998","1,64",0.998,3657030.5
2258045,0,0,"0,964","1,64",0.964,2258045
"2313888,8",0,0,"0,986","1,64",0.986,2313888.8
"2238004,8",0,0,"0,966","1,64",0.966,2238004.8
"3664169,5",2,0,"0,998","1,64",0.998,3664169.5
"3471333,5",2,0,"0,996","1,64",0.996,3471333.5
2236548,1,0,"0,989","1,64",0.989,2236548
2133563,1,0,"0,975","1,64",0.975,2133563
2155870,1,0,"0,978","1,64",0.978,2155870
"3935553,5",2,0,"1,000","1,64",1.000,3935553.5
"340803,2",0,1,"1,000","1,64",1.000,340803.2
465346,2,1,"1,000","1,64",1.000,465346
"448094,4",0,1,"1,000","1,64",1.000,448094.4
331615,1,1,"1,000","1,64",1.000,331615
"550887,4",0,1,"1,000","1,64",1.000,550887.4
"707081,5",2,1,"1,000","1,64",1.000,707081.5
520056,1,1,"1,000","1,64",1.000,520056
426133,1,1,"1,000","1,64",1.000,426133
620309,1,1,"1,000","1,64",1.000,620309
"1192833,5",2,1,"1,000","1,64",1.000,1192833.5
"783412,6",0,1,"1,000","1,64",1.000,783412.6
"666725,6",0,1,"1,000","1,64",1.000,666725.6
944383,2,1,"1,000","1,64",1.000,944383
1450901,2,1,"1,000","1,64",1.000,1450901
711660,1,1,"1,000","1,64",1.000,711660
"887832,4",0,1,"1,000","1,64",1.000,887832.4
801167,1,1,"1,000","1,64",1.000,801167
"978587,6",0,1,"1,000","1,64",1.000,978587.6
"1659161,5",2,1,"1,000","1,64",1.000,1659161.5
1085948,0,1,"1,000","1,64",1.000,1085948
891748,1,1,"1,000","1,64",1.000,891748
1006657,1,1,"1,000","1,64",1.000,1006657
"1916686,5",2,1,"1,000","1,64",1.000,1916686.5
"2145809,5",2,1,"1,000","1,64",1.000,2145809.5
2397091,2,1,"1,000","1,64",1.000,2397091
"1189024,6",0,1,"1,000","1,64",1.000,1189024.6
1088475,1,1,"1,000","1,64",1.000,1088475
1308188,0,1,"1,000","1,64",1.000,1308188
"2634423,5",2,1,"1,000","1,64",1.000,2634423.5
1195765,1,1,"1,000","1,64",1.000,1195765
"1450772,2",0,1,1,"1,64",1,1450772.2
1269511,1,1,1,"1,64",1,1269511
2871498,2,1,1,"1,64",1,2871498
"1525667,2",0,1,1,"1,64",1,1525667.2
1372387,1,1,1,"1,64",1,1372387
"3117398,5",2,1,1,"1,64",1,3117398.5
1656933,0,1,1,"1,64",1,1656933
"3338452,5",2,1,1,"1,64",1,3338452.5
"1720251,2",0,1,1,"1,64",1,1720251.2
1447788,1,1,1,"1,64",1,1447788
"1836806,8",0,1,1,"1,64",1,1836806.8
1662240,1,1,1,"1,64",1,1662240
1584792,1,1,1,"1,64",1,1584792
"3682677,5",2,1,1,"1,64",1,3682677.5
3793045,2,1,1,"1,64",1,3793045
"1937274,4",0,1,1,"1,64",1,1937274.4
1792380,1,1,1,"1,64",1,1792380
4034336,2,1,1,"1,64",1,4034336
"4219641,5",2,1,1,"1,64",1,4219641.5
"2083857,2",0,1,1,"1,64",1,2083857.2
1833211,1,1,1,"1,64",1,1833211
1982672,1,1,1,"1,64",1,1982672
4528921,2,1,1,"1,64",1,4528921
2150968,0,1,1,"1,64",1,2150968
"2338708,6",0,1,1,"1,64",1,2338708.6
2097763,1,1,1,"1,64",1,2097763
"2412549,6",0,1,1,"1,64",1,2412549.6
"4809105,5",2,1,1,"1,64",1,4809105.5
5009056,2,1,1,"1,64",1,5009056
2131295,1,1,1,"1,64",1,2131295
"2452557,4",0,1,1,"1,64",1,2452557.4
2205007,1,1,1,"1,64",1,2205007
2301236,1,1,1,"1,64",1,2301236
"5289518,5",2,1,1,"1,64",1,5289518.5
