Edad;Género;Nacionalidad;Barrio/Localidad;Tipo de vacación preferida;Estilo de música preferido;Género preferido de películas;Deporte preferido;Hobbie preferido;¿En que rubro trabajás o te gustaría trabajar?;¿Qué esperas de la carrera?;¿Qué esperas de la materia? ¿Qué temas quisieras ver?;¿Qué algoritmos conocés?;¿Sobre qué temas trabajaste en los TPs de Análisis Predictivo?;¿Qué película te gustó más o quisieras ver primero?
23;Masculino;Argentino;Palermo;Ciudad;Rock;Ciencia ficción;No me interesa ningún deporte;Magia;Data asset manager;Terminarla;;;Precio de nafta ;Barbie
23;Femenino;Argentina;Recoleta;Ciudad;Rock;Drama;Fútbol;Estudiar Análisis Predictivo Avanzado;Trabajo en una petrolera;Que me de las herramientas necesarias para manejarme en el mundo laboral de los datos;Me gustaría aprender en profundidad métodos actuales de análisis predictivo para poder aplicar en futuros trabajos;Regresión lineal, árboles de decisión y sus derivados, redes neuronales, PCA, sentiment analysis, etc;Tendencias mundiales en trastornos de salud mental, predicción del score de un alojamiento en Airbnb y predicción del revenue de una película;Oppenheimer
21;Femenino;Argentina;Recoleta;Montaña;Rock;Acción;Otro;Dibujar/Pintar;Ciencia de datos;Espero poder conocer donde se puede aplicar el análisis de datos, como aprovechar más el análisis de las bases y entender resultados de mejor forma;Espero poder conocer más algoritmos, entender mejor algunas métricas ;Regresión lineal, arboles de decision, redes neuronales, random forest;Bases bancarias artificiales sobre préstamos;Oppenheimer
22;Femenino;Argentina;Palermo;Playa;Reggaeton/Trap/Cumbia;Comedia;Otro;Tocar un instrumento/Bailar;Fintech;;entender mejor los algoritmos;Arboles, Random forest, KNN, gradient boosting;Valoraciones (estrellas) de las apps en el app store;Barbie
21;Femenino;Argentina;Palermo;Montaña;Pop;Drama;Fútbol;Practicar un deporte;;;Hice análisis predictivo de Inter y siento que no aprendí tanto entonces me queda un poco pendiente aprender más;;Deserción de alumnos universitarios;Barbie
21;Femenino;Argentina;Recoleta;Playa;Pop;Romántica;Otro;Leer;Telecomunicaciones;Que me brinde las herramientas necesarias para salir al mundo laboral con una base solida para enfrentar todo lo que sea necesario;Me interesa mucho el tema de Machine Learning, quiero aprender mas de eso, de como funcionan los algoritmos, etc. ;Regresion (lineal y Lasso) y clasificación, clustering, DBSCAN, PCA, redes neuronales, kNearest neighbours;Regresion (lineal y Lasso) y clasificación, clustering, DBSCAN, y PCA;Barbie
23;Masculino;Argentina;Palermo;Playa;Otro;Suspenso/Terror;Otro;Estudiar Análisis Predictivo Avanzado;Trabajo como developer ;Aprender a pensar problemas y diseñar soluciones ;Metodologías para aprendizaje computacional  ;Ordenamiento, predicción, reducción de dimensionalidad;La hice en intercambio ;Oppenheimer
21;Femenino;Argentina;Pacheco;Playa;Reggaeton/Trap/Cumbia;Romántica;Otro;Practicar un deporte;Analitica de datos en Marketing;Poder tener las herramientas y los conocimientos necesarios para poder manejar datos de  empresas combinando la parte técnica y tecnológica con la de negocio;Tener mas conocimiento sobre las herramientas de modelos predicción de datos aplicables a casos reales.;;Predicción de popularidad de noticias, predicción de rating de airbnb, predicción de notas de alumnos;Barbie
22;Femenino;Argetina;Tigre;Playa;Otro;Romántica;Otro;Tocar un instrumento/Bailar;Tecnología;;Machine Learning, inteligencia artificial;;Campañas de marketing y satisfacción de pasajeros de aerolínea;Barbie
21;Femenino;Argentina;Villla Urquiza;Playa;Pop;Comedia;Otro;Practicar un deporte;Trabajo en el rubro financiero;;;;Alquiler de bicicletas y predicción de salario;Oppenheimer
21;Masculino;Arg;Tigre;Montaña;Rock;Ciencia ficción;Otro;Practicar un deporte;Desarrollo de software ;Herramientas ;Herramientas copadas, conocimientos solidos en predictivo ;Extratrees, xgb, lgbm, randomforest, Redes neuronales.     (Ninguno en profundidad );Predecir presion arterial y rating de rbnb ;Oppenheimer
21;Femenino;Argentina;Ramos Mejia;Playa;Pop;Comedia;Tenis;Estudiar Análisis Predictivo Avanzado;Actualmente trabajo en el area de datos del diario la nacion pero a futuro me gustaria meterme en algo orinetado a lo predictivo;Recibirme;Me gustó la materia de Analisis Predictivo, asi que espero profundizar principalmente en la segunda parte de la materia.;scikit learn (Random Forest, KNN, DecisionTreeRegressor, regresion lineal), tensorflow, xgboost;Para el TP final trabaje en un dataset de spotify para la prediccion de la varible que indica si una cancion es explicita o no (V o F);Barbie
22;Masculino;Argentino;Olivos;Montaña;Rock;Comedia;Fútbol;Practicar un deporte;Medio de comunicación;Poder adquirir las herramientas que necesita un científico de datos para poder trabajar en diversos rubros;Me gustaría poder ver algún modelo que pueda predecir resultados deportivos;Regresión lineal y logística, Naive Bayes, KNN, Árboles de decisión;Trabajé con la predicción de reviews de Airbnb y también en la predicción de días lluviosos;Oppenheimer
21;Masculino;Argentino ;Recoleta ;Montaña;Otro;Comedia;No me interesa ningún deporte;Leer;Arquitectura en datos;Aprender estadística, hacer las preguntas correctas y programar;;Cluster, random forest, xgboost, linear regression, svm, el del cubo rubik;Hongos, sga, ranking de películas ;Oppenheimer
21;Femenino;Argentina;Temperley;Montaña;Otro;Acción;Otro;Jugar videojuegos;Consultoria ;Poder aprender a analizar datos y sacar conclusiones de negocio;Profundizar lo visto en la materia análisis predictivo. Bastante practica ;regresion lineal, logistica, k - neighbours, arboles de decision .... ;ranking de peliculas, piel de cancer, ;Oppenheimer
21;Femenino;Argentina;Palermo;Playa;Pop;Romántica;Tenis;;No tengo idea;Que me abra la cabeza;Estoy abierta a todo ejje;Random forest, xgboost, svm, grid search. cross validation;Riesgo de enfermedades cardiovasculares, rating de peliculas y default de pagos de tarjetas de credito;Barbie
