CT,Proveedor,Modelo,zServicio,z,CostoTotal/VentasTotales,,
"1980461,6",0,1,"1,000","1,64","1980461,6","1,000",1980461.6
"3757103,5",2,1,"1,000","1,64","3757103,5","1,000",3757103.5
"3554743,5",2,1,"1,000","1,64","3554743,5","1,000",3554743.5
"1875910,6",0,1,"1,000","1,64","1875910,6","1,000",1875910.6
1678155,1,1,"1,000","1,64",1678155,"1,000",1678155
4394884,2,1,"1,000","1,64",4394884,"1,000",4394884
"2149573,2",0,1,"1,000","1,64","2149573,2","1,000",2149573.2
4155360,2,1,"1,000","1,64",4155360,"1,000",4155360
1903585,1,1,"1,000","1,64",1903585,"1,000",1903585
1912855,1,1,"1,000","1,64",1912855,"1,000",1912855
"2215879,6",0,1,"1,000","1,64","2215879,6","1,000",2215879.6
"4597100,5",2,1,"1,000","1,64","4597100,5","1,000",4597100.5
"2349836,6",0,1,"1,000","1,64","2349836,6","1,000",2349836.6
2030964,1,1,"1,000","1,64",2030964,"1,000",2030964
"4824318,5",2,1,"1,000","1,64","4824318,5","1,000",4824318.5
2157615,1,1,"1,000","1,64",2157615,"1,000",2157615
"2388532,8",0,1,"1,000","1,64","2388532,8","1,000",2388532.8
5177413,2,1,"1,000","1,64",5177413,"1,000",5177413
1628825,1,1,"0,983","1,64",1628825,"0,983",1628825
1655680,1,1,"0,978","1,64",1655680,"0,978",1655680
1631780,1,1,"0,982","1,64",1631780,"0,982",1631780
1617415,1,1,"0,981","1,64",1617415,"0,981",1617415
1626440,1,1,"0,977","1,64",1626440,"0,977",1626440
1621195,1,1,"0,978","1,64",1621195,"0,978",1621195
1666370,1,1,"0,987","1,64",1666370,"0,987",1666370
1630675,1,1,"0,992","1,64",1630675,"0,992",1630675
1648925,1,1,"0,976","1,64",1648925,"0,976",1648925
1622865,1,1,"0,988","1,64",1622865,"0,988",1622865
1656410,1,1,"0,984","1,64",1656410,"0,984",1656410
1644830,1,1,"0,978","1,64",1644830,"0,978",1644830
1644900,1,1,"0,983","1,64",1644900,"0,983",1644900
1634740,1,1,"0,980","1,64",1634740,"0,980",1634740
1642680,1,1,"0,993","1,64",1642680,"0,993",1642680
1662100,1,1,"0,986","1,64",1662100,"0,986",1662100
1656650,1,1,"0,983","1,64",1656650,"0,983",1656650
